director_id,genre,prob
429,Adventure,0,75
429,Music,0,25
429,Fantasy,0,75
429,Romance,0,5
429,Family,0,75
429,Comedy,0,75
429,Short,0,25
429,Animation,0,75
2931,Action,0,42857099999999998
2931,Horror,0,14285700000000001
2931,Sci-Fi,0,42857099999999998
2931,Adventure,0,14285700000000001
2931,Fantasy,0,28571400000000002
2931,Thriller,0,28571400000000002
2931,Crime,0,28571400000000002
2931,Comedy,0,14285700000000001
2931,Drama,0,71428599999999998
9247,Drama,1
9247,Adventure,0,5
9247,Comedy,1
11652,Romance,0,25
11652,Sci-Fi,0,5
11652,Documentary,0,25
11652,Action,0,5
11652,Drama,0,25
11652,Adventure,0,16666700000000001
11652,Fantasy,8,3333299999999999E-2
11652,Short,0,25
11652,Horror,0,16666700000000001
11652,Thriller,0,41666700000000001
11652,Comedy,8,3333299999999999E-2
11652,Family,8,3333299999999999E-2
14927,Musical,0,5
14927,Sci-Fi,0,16666700000000001
14927,Romance,0,16666700000000001
14927,Mystery,0,16666700000000001
14927,Fantasy,0,33333299999999999
14927,Comedy,0,66666700000000001
14927,Animation,1
14927,Action,0,16666700000000001
14927,Adventure,0,5
14927,Family,1
15092,Comedy,0,54545500000000002
15092,Crime,0,54545500000000002
15092,Fantasy,9,0909100000000007E-2
15092,Thriller,0,36363600000000001
15092,Adventure,9,0909100000000007E-2
15092,Romance,0,272727
15092,Drama,0,45454499999999998
15093,Adventure,8,3333299999999999E-2
15093,Romance,0,25
15093,Crime,0,5
15093,Fantasy,8,3333299999999999E-2
15093,Comedy,0,58333299999999999
15093,Mystery,8,3333299999999999E-2
15093,Drama,0,41666700000000001
15093,Thriller,0,41666700000000001
15901,Mystery,6,8965499999999999E-2
15901,Sci-Fi,0,137931
15901,Romance,0,103448
15901,Action,3,4482800000000001E-2
15901,Fantasy,3,4482800000000001E-2
15901,Musical,6,8965499999999999E-2
15901,Music,3,4482800000000001E-2
15901,Documentary,3,4482800000000001E-2
15901,Drama,0,68965500000000002
15901,Short,3,4482800000000001E-2
15901,Comedy,0,206897
15901,War,6,8965499999999999E-2
15901,Adventure,3,4482800000000001E-2
15901,Crime,0,24137900000000001
15901,Western,3,4482800000000001E-2
15901,Thriller,0,17241400000000001
15901,Family,3,4482800000000001E-2
15901,Horror,0,103448
15906,Short,0,25
15906,Mystery,0,25
15906,Comedy,0,25
15906,Drama,1
16816,Romance,0,83333299999999999
16816,Sci-Fi,0,16666700000000001
16816,Thriller,0,16666700000000001
16816,Comedy,0,66666700000000001
16816,Music,0,16666700000000001
16816,Mystery,0,16666700000000001
16816,Drama,1
17810,Fantasy,0,16666700000000001
17810,Sci-Fi,0,16666700000000001
17810,Horror,0,33333299999999999
17810,Drama,0,66666700000000001
17810,Thriller,0,16666700000000001
